Smiles,MeanValue
B(C1CCCCC1C)(O)O,8.4
C#CCC(C(=O)O)N,4.785
C#CC[Se]C1=CC=CC=C1,9.75
C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,207.0
C(#N)N,76.9083333335
C(#N)[S-],30.5
C(=C(C=C(C(=O)O)Cl)Cl)C(=O)O,198.0
C(=CC(=O)C(=O)O)C=CO,18.2
C(=CC(=O)O)C(=CC(=O)O)Cl,1322.9333333333334
C(=CC(=O)O)C(=CC(=O)O)F,345000.0
C(=CC(=O)O)C=C(C(=O)[O-])[O-],47142.0
C(=CC(=O)[O-])C(=CC(=O)[O-])C(=O)[O-],491.0
C(=CC(=O)[O-])C(=O)[O-],174.028076
C(=CC(=O)[O-])C=C(C(=O)[O-])Cl,1321.2
C(=CC(=O)[O-])C=CC(=O)[O-],244552.675
C(=CC=O)C=C(C(=O)O)N,4.8
C(=O)(C(=O)O)C(=O)O,674.0
C(=O)(C(=O)[O-])C(=O)[O-],21.0
C(=O)(C(=O)[O-])[O-],11.937000000000001
C(=O)(N)N,5913.0
C(=O)(N)NC(=O)NC(=O)O,15.5
C(=O)(N)NC(=O)N[N+](=O)[O-],9.4
C(=O)(N)NC(=O)O,16.4
C(=O)(N)NO,11.0
C(=O)(N)OP(=O)(O)O,901.7452666633999
C(=O)(N)[O-],46.0175
C(=O)(O)O,323250.0
C(=O)(O)[O-],10.062264285714287
C(=O)=O,128264.39302083344
C(=O)=S,1800.0
C(=O)C(=O)O,1.18333333
C(=O)C(=O)[O-],328.79264705882355
C(=O)C(C(C(C(C(O)F)O)O)O)O,0.251666667
C(=O)C=O,8.58888889
C(=O)[O-],110.9991923076923
C(=S)=S,952.0
C(Br)Br,5.6
C(C(=CC(=O)O)C(=O)O)C(=O)O,16500.0
C(C(=O)C(=O)CBr)Br,20.491666666666667
C(C(=O)C(=O)O)Br,269.0
C(C(=O)C(=O)O)C(=O)O,3892.678182291156
C(C(=O)C(=O)O)F,2.8
C(C(=O)C(=O)O)O,81.0923076923077
C(C(=O)C(=O)O)OP(=O)(O)O,4.605714285714286
C(C(=O)C(=O)O)P(=O)(O)O,34.59831666666667
